Estacion,Afluencia_Total_2025_26,Espera_Promedio_Minutos,Indice_Congestion,Indice_Calidad_Servicio,Nivel_Servicio,Latitud,Longitud
ACATITLA,5038262,4.00,20.15,0.32,Regular,19.36,-99.01
ACULCO,2766155,4.00,11.06,0.22,Bueno,19.37,-99.11
ALLENDE,9887251,3.00,29.66,0.40,Regular,19.44,-99.14
APATLACO,4104884,4.00,16.42,0.28,Bueno,19.38,-99.11
ATLALILCO,8987377,3.25,29.21,0.40,Regular,19.35,-99.10
AUDITORIO,11322369,4.00,45.29,0.59,Regular,19.43,-99.19
AUTOBUSES DEL NORTE,6634946,3.00,19.90,0.29,Bueno,19.48,-99.14
BALBUENA,2722907,4.00,10.89,0.22,Bueno,19.42,-99.10
BALDERAS,9980648,3.50,34.93,0.47,Regular,19.43,-99.15
BARRANCA DEL MUERTO,11532347,4.00,46.13,0.60,Regular,19.36,-99.19
BELLAS ARTES,15788567,3.50,55.26,0.68,Crítico,19.44,-99.14
BONDOJITO,1860784,4.00,7.44,0.19,Bueno,19.46,-99.11
BUENAVISTA,17365205,3.00,52.10,0.63,Crítico,19.45,-99.15
CALLE 11,4276275,2.50,10.69,0.18,Bueno,19.32,-99.09
CAMARONES,4395275,4.00,17.58,0.29,Bueno,19.48,-99.19
CANAL DE SAN JUAN,4073516,4.00,16.29,0.28,Bueno,19.40,-99.06
CANAL DEL NORTE,2449122,4.00,9.80,0.21,Bueno,19.45,-99.12
CANDELARIA,9046617,4.00,36.19,0.49,Regular,19.43,-99.12
CERRO DE LA ESTRELLA,3620255,4.00,14.48,0.26,Bueno,19.36,-99.09
CHABACANO,12121819,3.33,40.41,0.52,Regular,19.41,-99.13
CHAPULTEPEC,10346229,4.00,41.38,0.55,Regular,19.42,-99.18
CHILPANCINGO,13479359,3.00,40.44,0.51,Regular,19.41,-99.17
CIUDAD AZTECA,15045286,3.00,45.14,0.56,Regular,19.53,-99.03
CIUDAD DEPORTIVA,2270404,3.00,6.81,0.15,Bueno,19.41,-99.09
COLEGIO MILITAR,4826598,3.00,14.48,0.23,Bueno,19.45,-99.17
