Estacion,Afluencia_Total_2025_26,Espera_Promedio_Minutos,Indice_Congestion,Latitud,Longitud
CUATRO CAMINOS,35149370,3.00,105.45,19.46,-99.22
INDIOS VERDES,32375391,3.00,97.13,19.50,-99.12
TACUBAYA,24629971,3.67,90.31,19.40,-99.19
EL ROSARIO,14999343,4.00,60.00,19.50,-99.20
LA PAZ,14392733,4.00,57.57,19.35,-98.96
UNIVERSIDAD,18872050,3.00,56.62,19.32,-99.17
BELLAS ARTES,15788567,3.50,55.26,19.44,-99.14
BUENAVISTA,17365205,3.00,52.10,19.45,-99.15
SANTA MARTA,12893127,4.00,51.57,19.36,-99.00
MERCED,12668453,4.00,50.67,19.43,-99.13
POLANCO,12287591,4.00,49.15,19.43,-99.19
TACUBA,13371476,3.50,46.80,19.46,-99.19
BARRANCA DEL MUERTO,11532347,4.00,46.13,19.36,-99.19
HIDALGO,15125126,3.00,45.38,19.44,-99.15
AUDITORIO,11322369,4.00,45.29,19.43,-99.19
CIUDAD AZTECA,15045286,3.00,45.14,19.53,-99.03
CHAPULTEPEC,10346229,4.00,41.38,19.42,-99.18
CHILPANCINGO,13479359,3.00,40.44,19.41,-99.17
CHABACANO,12121819,3.33,40.41,19.41,-99.13
LA RAZA,13180714,3.00,39.54,19.47,-99.14
MIXCOAC,11287998,3.25,36.69,19.38,-99.19
CANDELARIA,9046617,4.00,36.19,19.43,-99.12
BALDERAS,9980648,3.50,34.93,19.43,-99.15
SALTO DEL AGUA,8703713,4.00,34.81,19.43,-99.14
COYUYA,8625706,4.00,34.50,19.40,-99.11
DEPORTIVO 18 DE MARZO,9836808,3.50,34.43,19.48,-99.13
TEPALCATES,8479506,4.00,33.92,19.39,-99.05
ZARAGOZA,8434364,4.00,33.74,19.41,-99.08
COPILCO,11003970,3.00,33.01,19.34,-99.18
INSURGENTES,7792395,4.00,31.17,19.42,-99.16
NORMAL,10266123,3.00,30.80,19.44,-99.17
UAM-I,7689817,4.00,30.76,19.35,-99.07
ALLENDE,9887251,3.00,29.66,19.44,-99.14
ATLALILCO,8987377,3.25,29.21,19.35,-99.10
INSURGENTES SUR,11423375,2.50,28.56,19.37,-99.18
ZAPATA,10219655,2.75,28.10,19.37,-99.17
PUEBLA,9341442,3.00,28.02,19.41,-99.08
LOS REYES,6836028,4.00,27.34,19.36,-98.98
GUELATAO,6342357,4.00,25.37,19.39,-99.04
MOCTEZUMA,6071223,4.00,24.28,19.43,-99.11
ECATEPEC,7835628,3.00,23.51,19.52,-99.04
IZTACALCO,5603104,4.00,22.41,19.39,-99.11
JAMAICA,6247454,3.50,21.87,19.41,-99.12
ERMITA,7937213,2.75,21.83,19.36,-99.14
IMPULSORA,7205450,3.00,21.62,19.49,-99.05
MIXIUHCA,7083662,3.00,21.25,19.41,-99.11
TEPITO,6862870,3.00,20.59,19.44,-99.12
LINDAVISTA,5074222,4.00,20.30,19.49,-99.14
SAN COSME,6748974,3.00,20.25,19.44,-99.16
GENERAL ANAYA,6735749,3.00,20.21,19.35,-99.15
ACATITLA,5038262,4.00,20.15,19.36,-99.01
LAGUNILLA,6643320,3.00,19.93,19.44,-99.13
AUTOBUSES DEL NORTE,6634946,3.00,19.90,19.48,-99.14
NOPALERA,7813431,2.50,19.53,19.30,-99.05
CONSTITUYENTES,4860583,4.00,19.44,19.41,-99.19
PORTALES,6410670,3.00,19.23,19.37,-99.14
XOLA,6363584,3.00,19.09,19.40,-99.14
TEZONCO,7483245,2.50,18.71,19.31,-99.07
NATIVITAS,6206342,3.00,18.62,19.38,-99.14
SEVILLA,4625612,4.00,18.50,19.42,-99.17
PATRIOTISMO,5973653,3.00,17.92,19.41,-99.18
SAN ANTONIO ABAD,5967015,3.00,17.90,19.42,-99.13
HOSPITAL GENERAL,5866377,3.00,17.60,19.41,-99.15
CAMARONES,4395275,4.00,17.58,19.48,-99.19
OBRERA,4123299,4.00,16.49,19.41,-99.14
APATLACO,4104884,4.00,16.42,19.38,-99.11
VIADUCTO,5462208,3.00,16.39,19.40,-99.14
CANAL DE SAN JUAN,4073516,4.00,16.29,19.40,-99.06
SAN ANTONIO,4019242,4.00,16.08,19.38,-99.19
TLATELOLCO,5319164,3.00,15.96,19.46,-99.14
ROMERO RUBIO,5104462,3.00,15.31,19.44,-99.09
SAN PEDRO DE LOS PINOS,3790276,4.00,15.16,19.39,-99.19
GUERRERO,4920807,3.00,14.76,19.44,-99.15
CERRO DE LA ESTRELLA,3620255,4.00,14.48,19.36,-99.09
COLEGIO MILITAR,4826598,3.00,14.48,19.45,-99.17
DOCTORES,3580686,4.00,14.32,19.42,-99.14
MEXICALTZINGO,5509441,2.50,13.77,19.36,-99.12
POTRERO,4584191,3.00,13.75,19.48,-99.13
MORELOS,3925789,3.50,13.74,19.44,-99.12
IZTAPALAPA,3383872,4.00,13.54,19.36,-99.09
OLIVOS,5321907,2.50,13.30,19.30,-99.06
EUGENIA,4213179,3.00,12.64,19.39,-99.16
FRAY SERVANDO,2867782,4.00,11.47,19.42,-99.12
PANTEONES,3726746,3.00,11.18,19.46,-99.20
ACULCO,2766155,4.00,11.06,19.37,-99.11
BALBUENA,2722907,4.00,10.89,19.42,-99.10
CALLE 11,4276275,2.50,10.69,19.32,-99.09
CANAL DEL NORTE,2449122,4.00,9.80,19.45,-99.12
EJE CENTRAL,3907654,2.50,9.77,19.36,-99.15
VALLEJO,2411268,4.00,9.65,19.49,-99.16
CONSULADO,2709958,3.50,9.48,19.46,-99.11
LA VIGA,2301016,4.00,9.20,19.41,-99.13
POPOTLA,2945035,3.00,8.84,19.45,-99.18
HOSPITAL 20 DE NOVIEMBRE,3493593,2.50,8.73,19.37,-99.17
PARQUE DE LOS VENADOS,3481138,2.50,8.70,19.37,-99.16
SANTA ANITA,2139166,4.00,8.56,19.40,-99.12
LOMAS ESTRELLA,3125513,2.50,7.81,19.32,-99.10
NORTE 45,1929793,4.00,7.72,19.49,-99.16
BONDOJITO,1860784,4.00,7.44,19.46,-99.11
MISTERIOS,2426919,3.00,7.28,19.46,-99.13
CIUDAD DEPORTIVA,2270404,3.00,6.81,19.41,-99.09
EDUARDO MOLINA,2216308,3.00,6.65,19.45,-99.11
OBSERVATORIO,1405966,4.00,5.62,19.40,-99.20
HANGARES,1619714,3.00,4.86,19.42,-99.09
TLALTENCO,1693684,2.50,4.23,19.29,-99.02
